area,state,zone,city_tier
Adoni,Andhra Pradesh,South,Tier 3 - Small City
Agartala,Tripura,North East,Tier 2 - Large City
Agra,Uttar Pradesh,Central,Tier 2 - Large City
Ahmedabad,Gujarat,West,Tier 1 - Metro
Ahmednagar,Maharashtra,West,Tier 3 - Small City
Aizawl,Mizoram,North East,Tier 2 - Large City
Ajmer,Rajasthan,North,Tier 2 - Large City
Akola,Maharashtra,West,Tier 3 - Small City
Alappuzha,Kerala,South,Tier 3 - Small City
Aligarh,Uttar Pradesh,Central,Tier 2 - Large City
Allahabad,Uttar Pradesh,Central,Tier 2 - Large City
Alwar,Rajasthan,North,Tier 3 - Small City
Amaravati,Andhra Pradesh,South,Tier 3 - Small City
Ambala,Haryana,North,Tier 3 - Small City
Ambarnath,Maharashtra,West,Tier 3 - Small City
Ambattur,Tamil Nadu,South,Tier 2 - Large City
Amravati,Maharashtra,West,Tier 2 - Large City
Amritsar,Punjab,North,Tier 2 - Large City
Amroha,Uttar Pradesh,Central,Tier 3 - Small City
Anand,Gujarat,West,Tier 3 - Small City
Anantapur,Andhra Pradesh,South,Tier 3 - Small City
Anantapuram,Andhra Pradesh,South,Tier 3 - Small City
Arrah,Bihar,East,Tier 3 - Small City
Asansol,West Bengal,East,Tier 2 - Large City
Aurangabad,Maharashtra,West,Tier 2 - Large City
Avadi,Tamil Nadu,South,Tier 3 - Small City
Bahraich,Uttar Pradesh,Central,Tier 3 - Small City
Ballia,Uttar Pradesh,Central,Tier 3 - Small City
Bally,West Bengal,East,Tier 3 - Small City
Bangalore,Karnataka,South,Tier 1 - Metro
Baranagar,West Bengal,East,Tier 3 - Small City
Barasat,West Bengal,East,Tier 3 - Small City
Bardhaman,West Bengal,East,Tier 3 - Small City
Bareilly,Uttar Pradesh,Central,Tier 2 - Large City
Bathinda,Punjab,North,Tier 3 - Small City
Begusarai,Bihar,East,Tier 3 - Small City
Belgaum,Karnataka,South,Tier 2 - Large City
Bellary,Karnataka,South,Tier 3 - Small City
Berhampore,West Bengal,East,Tier 3 - Small City
Berhampur,Odisha,East,Tier 3 - Small City
Bettiah,Bihar,East,Tier 3 - Small City
Bhagalpur,Bihar,East,Tier 3 - Small City
Bhalswa Jahangir Pur,Delhi,North,Tier 3 - Small City
Bharatpur,Rajasthan,North,Tier 3 - Small City
Bhatpara,West Bengal,East,Tier 3 - Small City
Bhavnagar,Gujarat,West,Tier 2 - Large City
Bhilai,Chhattisgarh,Central,Tier 2 - Large City
Bhilwara,Rajasthan,North,Tier 3 - Small City
Bhimavaram,Andhra Pradesh,South,Tier 3 - Small City
Bhind,Madhya Pradesh,Central,Tier 3 - Small City
Bhiwandi,Maharashtra,West,Tier 2 - Large City
Bhiwani,Haryana,North,Tier 3 - Small City
Bhopal,Madhya Pradesh,Central,Tier 2 - Large City
Bhubaneswar,Odisha,East,Tier 2 - Large City
Bhusawal,Maharashtra,West,Tier 3 - Small City
Bidar,Karnataka,South,Tier 3 - Small City
Bidhannagar,West Bengal,East,Tier 3 - Small City
Bihar Sharif,Bihar,East,Tier 3 - Small City
Bijapur,Karnataka,South,Tier 3 - Small City
Bikaner,Rajasthan,North,Tier 2 - Large City
Bilaspur,Chhattisgarh,Central,Tier 3 - Small City
Bokaro,Jharkhand,East,Tier 3 - Small City
Bongaigaon,Assam,North East,Tier 3 - Small City
Bulandshahr,Uttar Pradesh,Central,Tier 3 - Small City
Burhanpur,Madhya Pradesh,Central,Tier 3 - Small City
Buxar,Bihar,East,Tier 3 - Small City
Chandigarh,Chandigarh,North,Tier 2 - Large City
Chandrapur,Maharashtra,West,Tier 3 - Small City
Chapra,Bihar,East,Tier 3 - Small City
Chennai,Tamil Nadu,South,Tier 1 - Metro
Chinsurah,West Bengal,East,Tier 3 - Small City
Chittoor,Andhra Pradesh,South,Tier 3 - Small City
Coimbatore,Tamil Nadu,South,Tier 2 - Large City
Cuttack,Odisha,East,Tier 2 - Large City
Danapur,Bihar,East,Tier 3 - Small City
Darbhanga,Bihar,East,Tier 3 - Small City
Davanagere,Karnataka,South,Tier 3 - Small City
Dehradun,Uttarakhand,North,Tier 2 - Large City
Dehri,Bihar,East,Tier 3 - Small City
Delhi,Delhi,North,Tier 1 - Metro
Deoghar,Jharkhand,East,Tier 3 - Small City
Dewas,Madhya Pradesh,Central,Tier 2 - Large City
Dhanbad,Jharkhand,East,Tier 2 - Large City
Dharmavaram,Andhra Pradesh,South,Tier 3 - Small City
Dhule,Maharashtra,West,Tier 3 - Small City
Dibrugarh,Assam,North East,Tier 3 - Small City
Dindigul,Tamil Nadu,South,Tier 3 - Small City
Durg,Chhattisgarh,Central,Tier 3 - Small City
Durgapur,West Bengal,East,Tier 2 - Large City
Eluru,Andhra Pradesh,South,Tier 3 - Small City
Erode,Tamil Nadu,South,Tier 2 - Large City
Etawah,Uttar Pradesh,Central,Tier 3 - Small City
Faridabad,Haryana,North,Tier 2 - Large City
Farrukhabad,Uttar Pradesh,Central,Tier 3 - Small City
Fatehpur,Uttar Pradesh,Central,Tier 3 - Small City
Firozabad,Uttar Pradesh,Central,Tier 2 - Large City
Gandhidham,Gujarat,West,Tier 3 - Small City
Gandhinagar,Gujarat,West,Tier 3 - Small City
Gangtok,Sikkim,North East,Tier 2 - Large City
Gaya,Bihar,East,Tier 2 - Large City
Ghaziabad,Uttar Pradesh,Central,Tier 2 - Large City
Giridih,Jharkhand,East,Tier 3 - Small City
Gopalpur,West Bengal,East,Tier 3 - Small City
Gorakhpur,Uttar Pradesh,Central,Tier 2 - Large City
Gudivada,Andhra Pradesh,South,Tier 3 - Small City
Gulbarga,Karnataka,South,Tier 2 - Large City
Guna,Madhya Pradesh,Central,Tier 3 - Small City
Guntakal,Andhra Pradesh,South,Tier 3 - Small City
Guntur,Andhra Pradesh,South,Tier 2 - Large City
Gurgaon,Haryana,North,Tier 2 - Large City
Guwahati,Assam,North East,Tier 2 - Large City
Gwalior,Madhya Pradesh,Central,Tier 2 - Large City
Hajipur,Bihar,East,Tier 3 - Small City
Haldia,West Bengal,East,Tier 3 - Small City
Hapur,Uttar Pradesh,Central,Tier 3 - Small City
Haridwar,Uttarakhand,North,Tier 3 - Small City
Hazaribagh,Jharkhand,East,Tier 3 - Small City
Hindupur,Andhra Pradesh,South,Tier 3 - Small City
Hospet,Karnataka,South,Tier 3 - Small City
Hosur,Tamil Nadu,South,Tier 3 - Small City
Howrah,West Bengal,East,Tier 2 - Large City
Hubli–Dharwad,Karnataka,South,Tier 2 - Large City
